Job Class,Percentage, Link
Management,6.1, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiWqfqbpcXzAhVTgnIEHVomCg8QFnoECAQQAQ&url=https%3A%2F%2Fwww.thebalancecareers.com%2Fgetting-a-first-management-job-2275109&usg=AOvVaw0jltNO_-KPg6z3kkoUJx3M
Business and Financial operations,5, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj8y4SmpcXzAhXfmHIEHTrnCUgQFnoECAMQAQ&url=https%3A%2F%2Fwww.indeed.com%2Fcareer-advice%2Ffinding-a-job%2Fhow-to-start-a-career-in-finance&usg=AOvVaw2ZMVTKMtUfb8Xa_p3xCoaA
Computer and Mathematical,2.7, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi068ispcXzAhUvl3IEHVQiDVgQFnoECAMQAQ&url=https%3A%2F%2Fwww.livecareer.com%2Fresources%2Fcareers%2Frecent-grads%2Fmath-computer-science&usg=AOvVaw0BwHnX5H32HZs0a3jImaby
Architecture and Engineering,1.7, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjI88azpcXzAhUVoHIEHbaNCJoQFnoECAoQAQ&url=https%3A%2F%2Fwww.zippia.com%2Farchitectural-engineer-jobs%2F&usg=AOvVaw0JMFI-7aVOGN7bXGz9sI36
"Life, Physical and Social Science",0.9, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj46eG5pcXzAhXwknIEHWiJDIkQFnoECDQQAQ&url=https%3A%2F%2Fwww.biospace.com%2Farticle%2Fwhy-life-sciences-are-a-life-changing-career-move%2F&usg=AOvVaw3Q2JokyqM7ay0kszoFUDE1
Community and Social Service,1.6, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiiicrBpcXzAhUvgnIEHf2zAogQFnoECAIQAQ&url=https%3A%2F%2Fwww1.nyc.gov%2Fsite%2Facs%2Fabout%2FCareers-at-ACS.page&usg=AOvVaw1xhgEFmikAbUX0DRl0Amsk
Legal,0.8, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiI7s3HpcXzAhUspXIEHdSlAw4QFnoECAkQAQ&url=https%3A%2F%2Fwww.thebalancecareers.com%2Fjump-start-legal-career-2164507&usg=AOvVaw0j1Y5EIcFr3WZ61WgcUScc
"Education, training and library",6.1, https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi-lrbOpcXzAhVvknIEHTj5AfgQFnoECAQQAQ&url=https%3A%2F%2Fwww.ala.org%2Feducationcareers%2Flibcareers%2Fbecome&usg=AOvVaw2CepZoRwSiGTDS_b6g2LIi
"Arts, design, entertainment, sports and media",1.7
Healthcare practioners and technical,5.5
Healthcare support,2.8
Protective service,2.3
Food preparation and serving,8.3
Building and grounds cleaning and maintenance,3.7
Personal care and service,4
Sales,10.2
Office and administrative support,15.1
"Farming, fishing and forestry",0.6
Construction and extraction,4.3
"Installation, maintenance and repair",3.8
Production,6.1
Transportation and material moving,6.5
Total,99.8
